author_id,total_tweets,customer_messages,support_replies,responses
AmazonHelp,169840,0,169840,85274
AppleSupport,106860,0,106860,31564
Uber_Support,56270,0,56270,18036
SpotifyCares,43265,0,43265,13786
Delta,42253,0,42253,12014
Tesco,38573,0,38573,11148
AmericanAir,36764,0,36764,14556
TMobileHelp,34317,0,34317,9759
comcastcares,33031,0,33031,7625
British_Airways,29361,0,29361,10099
SouthwestAir,28977,0,28977,8580
VirginTrains,27817,0,27817,15235
Ask_Spectrum,25860,0,25860,7693
XboxSupport,24557,0,24557,10241
sprintcare,22381,0,22381,7334
hulu_support,21872,0,21872,7705
sainsburys,19466,0,19466,8172
GWRHelp,19364,0,19364,10915
AskPlayStation,19098,0,19098,8065
ChipotleTweets,18749,0,18749,6010
VerizonSupport,17966,0,17966,10585
UPSHelp,17817,0,17817,4925
ATVIAssist,17650,0,17650,7581
O2,16212,0,16212,7137
Safaricom_Care,16077,0,16077,6527
idea_cares,15724,0,15724,6833
AskTarget,13218,0,13218,4032
AirAsiaSupport,12829,0,12829,4621
BofA_Help,12683,0,12683,3109
SW_Help,12231,0,12231,6431
ArgosHelpers,12174,0,12174,5853
AskLyft,11809,0,11809,2546
marksandspencer,11504,0,11504,3776
AskAmex,11358,0,11358,4168
MicrosoftHelps,11304,0,11304,5257
AskPayPal,11298,0,11298,2523
Morrisons,10126,0,10126,3529
AdobeCare,9917,0,9917,4037
airtel_care,9881,0,9881,2652
AskeBay,9686,0,9686,3691
AirbnbHelp,8875,0,8875,2888
ChaseSupport,8811,0,8811,1700
McDonalds,8478,0,8478,1401
AldiUK,8114,0,8114,2211
JetBlue,8020,0,8020,3231
CoxHelp,7861,0,7861,2945
Ask_WellsFargo,7578,0,7578,1565
AzureSupport,7565,0,7565,3284
AlaskaAir,7478,0,7478,2464
HPSupport,7200,0,7200,850
LondonMidland,6822,0,6822,3773
GloCare,6308,0,6308,3144
DropboxSupport,5954,0,5954,1461
DellCares,5336,0,5336,1305
GreggsOfficial,4522,0,4522,1890
nationalrailenq,4444,0,4444,2498
VirginAtlantic,4318,0,4318,2317
TacoBellTeam,4082,0,4082,1415
AskCiti,4081,0,4081,964
AskPapaJohns,3908,0,3908,1176
CenturyLinkHelp,3801,0,3801,1057
NikeSupport,3468,0,3468,2066
Postmates_Help,3346,0,3346,873
VirginAmerica,2815,0,2815,1013
ATT,2790,0,2790,801
Walmart,2643,0,2643,391
IHGService,2643,0,2643,704
TfL,2243,0,2243,690
askpanera,2153,0,2153,520
KFC_UKI_Help,2103,0,2103,551
NortonSupport,2011,0,2011,908
GoDaddyHelp,1965,0,1965,660
ArbysCares,1904,0,1904,496
AsurionCares,1898,0,1898,826
DoorDash_Help,1581,0,1581,360
sizehelpteam,1482,0,1482,539
VMUcare,1381,0,1381,567
Kimpton,1339,0,1339,393
SCsupport,1329,0,1329,512
DunkinDonuts,1290,0,1290,197
TwitterSupport,1290,0,1290,98
USCellularCares,1177,0,1177,692
NeweggService,1079,0,1079,342
PandoraSupport,1043,0,1043,327
AWSSupport,1035,0,1035,336
AskRBC,1011,0,1011,386
AskVirginMoney,914,0,914,524
BoostCare,907,0,907,287
YahooCare,906,0,906,469
OPPOCareIN,879,0,879,400
PearsonSupport,841,0,841,282
HiltonHelp,833,0,833,178
GooglePlayMusic,804,0,804,420
MTNC_Care,784,0,784,324
AskTigogh,715,0,715,342
asksalesforce,710,0,710,270
askvisa,709,0,709,140
AskSeagate,639,0,639,256
MOO,630,0,630,182
ask_progressive,612,0,612,129
KeyBank_Help,555,0,555,215
AskRobinhood,432,0,432,125
mediatemplehelp,305,0,305,105
JackBox,266,0,266,49
OfficeSupport,218,0,218,94
AskDSC,210,0,210,29
CarlsJr,196,0,196,55
HotelTonightCX,152,0,152,30
